Solver,Benchmark,Result,Time,Exprs
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_polynomial2.sl,SUCCESS,0.48,6
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_max11.sl,SUCCESS,0.62,364
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_array_sum_4_5.sl,SUCCESS,0.54,240
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_mpg_guard3.sl,SUCCESS,0.52,53
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_array_sum_7_5.sl,SUCCESS,0.66,1242
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_mpg_guard2.sl,SUCCESS,0.52,45
DryadSynth___CLIA-Track/,./from_2018/small_linear_func.sl,SUCCESS,0.61,78
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_max12.sl,SUCCESS,0.62,433
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_array_search_10.sl,SUCCESS,1.87,3714
DryadSynth___CLIA-Track/,./from_2018/max18.sl,FAIL-SEMANTIC,0.74,973
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_ninefuncs.sl,SUCCESS,0.58,25
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_tenfunc1.sl,SUCCESS,0.64,30
DryadSynth___CLIA-Track/,./from_2018/arraysearch20.sl,SUCCESS,1.45,26824
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_VC22_a.sl,UNSOLVED,2.04,n/a
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_array_search_4.sl,SUCCESS,0.56,312
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_array_sum_10_5.sl,SUCCESS,0.77,3504
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_mpg_guard4.sl,SUCCESS,0.55,57
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_array_search_15.sl,SUCCESS,1.07,11719
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_polynomial4.sl,SUCCESS,0.50,8
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_array_sum_10_15.sl,SUCCESS,0.77,3504
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_mpg_example1.sl,SUCCESS,0.51,52
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_sevenfuncs.sl,SUCCESS,0.58,15
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_max8.sl,SUCCESS,0.58,193
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_array_search_3.sl,SUCCESS,1.57,151
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_array_sum_9_5.sl,SUCCESS,1.57,2580
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_eightfuncs.sl,SUCCESS,0.58,20
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_array_sum_8_15.sl,SUCCESS,0.68,1832
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_mpg_plane2.sl,SUCCESS,0.52,8
DryadSynth___CLIA-Track/,./from_2018/arraysearch19.sl,SUCCESS,1.30,23127
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_mpg_example4.sl,SUCCESS,0.60,448
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_array_search_9.sl,SUCCESS,0.72,2767
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_max9.sl,SUCCESS,0.59,244
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_fivefuncs.sl,SUCCESS,0.53,7
DryadSynth___CLIA-Track/,./from_2018/max16.sl,SUCCESS,1.51,769
DryadSynth___CLIA-Track/,./from_2018/arraysearch18.sl,SUCCESS,1.22,19786
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_array_sum_7_15.sl,SUCCESS,0.64,1242
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_array_search_7.sl,SUCCESS,0.68,1383
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_array_sum_3_5.sl,SUCCESS,0.51,102
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_array_sum_3_15.sl,SUCCESS,0.52,102
DryadSynth___CLIA-Track/,./from_2018/small.sl,SUCCESS,0.66,26
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_polynomial3.sl,SUCCESS,0.50,4
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_mpg_example2.sl,SUCCESS,0.57,190
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_max10.sl,SUCCESS,0.60,301
DryadSynth___CLIA-Track/,./from_2018/arraysearch16.sl,SUCCESS,1.06,14100
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_mpg_ite1.sl,SUCCESS,0.55,112
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_array_search_13.sl,SUCCESS,0.93,7791
DryadSynth___CLIA-Track/,./from_2018/max19.sl,FAIL-SEMANTIC,0.74,1084
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_array_sum_2_5.sl,SUCCESS,0.52,30
