Solver,Benchmark,Result,Time,Exprs
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_8.3.sl,SUCCESS,1.44,101
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_55_100.sl,SUCCESS,0.05,8
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_8.13.sl,SUCCESS,0.28,10
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_98_100.sl,SUCCESS,0.76,516
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_81_10.sl,SUCCESS,0.03,15
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_10.9.sl,SUCCESS,1.68,160
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_22_1000.sl,SUCCESS,6.60,146
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_21_100.sl,SUCCESS,0.11,27
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_147_100.sl,SUCCESS,0.34,45
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_1.2.sl,SUCCESS,0.98,123
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_11.9.sl,SUCCESS,0.14,98
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_27_100.sl,SUCCESS,0.59,239
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_107_1000.sl,SUCCESS,3.44,32
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_13.9.sl,SUCCESS,0.21,73
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_146_10.sl,SUCCESS,0.13,38
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_128_100.sl,SUCCESS,549.97,624
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_47_100.sl,SUCCESS,0.99,490
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_9.7.sl,SUCCESS,0.07,70
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_58_1000.sl,SUCCESS,5.58,475
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_35_100.sl,SUCCESS,0.69,267
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_5.3.sl,SUCCESS,3.30,135
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_26_100.sl,SUCCESS,0.32,14
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_63_10.sl,SUCCESS,0.03,34
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_32_10.sl,SUCCESS,0.07,14
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_37_100.sl,SUCCESS,0.33,14
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_13.16.sl,SUCCESS,0.40,152
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_43_10.sl,SUCCESS,0.10,22
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_120_100.sl,SUCCESS,0.03,1
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_2.8.sl,SUCCESS,0.03,22
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_6.7.sl,SUCCESS,0.22,78
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_6.18.sl,SUCCESS,0.18,114
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_20_1000.sl,SUCCESS,8.27,674
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_117_10.sl,SUCCESS,0.03,19
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_57_10.sl,SUCCESS,0.12,21
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_70_100.sl,SUCCESS,0.09,15
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_1.4.sl,SUCCESS,0.22,34
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_13.4.sl,SUCCESS,0.35,119
